Compound,m/z,Retention time (min),kmd,pass_relfil,pass_blnkfil,average CV,median CV,pass_insource,groups,fc,-logp,logfc,hits
0.80_418.1451n,419.1520828,0.802766667,0.1520828000000165,True,True,0.010040382940985748,0.009423887733531495,False, 0um_Ce 250um_Ce Media insource,0.9777254047919044,0.6937164483032281,-0.03249875524189783,
0.81_210.0803m/z,210.0803421,0.809916667,0.08034209999999575,True,True,0.006501647786652482,0.006340591987036607,True, 0um_Ce 250um_Ce Media,0.9642684437150052,1.5287527446461824,-0.0524932591132341,0
4.11_444.1061n,889.218976,4.110983333,0.21897599999999784,True,True,0.020787885088132712,0.02073919944258157,False, 0um_Ce 250um_Ce insource,4.011734140410232,3.25562405786941,2.0042260010097603,
4.11_400.0799n,401.0872034,4.110983333,0.08720340000002125,True,True,0.2578197338504206,0.012353021941515456,False, 0um_Ce 250um_Ce insource,2.2491645229197603,3.1911135273916464,1.169389195895237,
0.80_627.2171n,650.2063013,0.802766667,0.2063012999999501,True,True,0.02190268517581215,0.01965673428790717,True, 0um_Ce 250um_Ce Media,0.99399160973513,0.07023268690822569,-0.008694420810672806,0
2.65_752.8361n,753.8434083,2.6526,0.8434082999999646,True,True,0.6246761609227889,0.09702073827767782,False, 0um_Ce cv insource,0.01,1.2828522608385728,-6.6438561897747235,
4.77_240.1117n,241.1189378,4.7723833330000005,0.11893779999999765,True,True,0.0165924696831107,0.016253388851310897,True, 0um_Ce 250um_Ce,13.205541711420224,3.2301833946791167,3.723071579152661,0
4.62_401.0873m/z,401.0872589,4.623133333,0.08725889999999481,True,True,0.2613496130966922,0.02237371320575764,False, 0um_Ce 250um_Ce insource,1.7983759319347803,2.192103270771569,0.8466946328919576,
1.46_132.1024m/z,132.1023553,1.4645166669999998,0.10235529999999926,True,True,0.2747731945695797,0.0690709749532558,False, Media insource,0.014984847972535782,1.6499149998507852,-6.060351742585318,
2.00_120.0817m/z,120.0816648,1.998166667,0.08166479999999865,False,True,,,True, relfil,,,,
2.31_165.0801n,188.071814,2.310966667,0.07181399999998916,True,True,0.13025986491015118,0.029055955869722663,False, Media insource,0.14581832552209875,1.6519185351481098,-2.7777560550682248,
2.44_751.8294n,752.8366867000003,2.439083333,0.8366867000000866,True,True,0.5316480392446457,0.11859117275890076,False, 0um_Ce 250um_Ce cv insource,0.9865535682572107,0.00940659689233378,-0.01953070581300624,
0.77_342.1171n,365.1062868,0.767066667,0.10628680000002078,True,True,0.015926979595484336,0.015480752529557181,False, 0um_Ce 250um_Ce Media insource,0.16696846289925366,2.425989000716766,-2.58235246353812,
2.65_763.8268n,764.8341073,2.6526,0.8341073000000279,False,True,,,True, relfil,,,,
1.30_268.1048m/z,268.1048369,1.300983333,0.10483690000000934,True,True,0.10362870740398404,0.10974178014158294,True, Media,0.998868789639369,0.0020070237913638288,-0.0016329153370850408,1
2.50_795.7742m/z,795.7741774,2.50335,0.7741773999999849,True,True,0.13475222527445627,0.10662835563984273,False, 0um_Ce 250um_Ce insource,0.3271867604338695,1.1524784133466306,-1.6118137238780168,
2.66_778.2862n,779.293459,2.65975,0.2934589999999844,True,True,0.5162484136339458,0.06042668559650925,False, 0um_Ce 250um_Ce cv insource,0.6612366503386213,1.2167027656013931,-0.5967614038379111,
3.92_166.0868m/z,166.0868186,3.918633333,0.08681859999998665,True,True,0.5040182464801315,0.0173348878765256,True, 0um_Ce 250um_Ce cv,1.1277038611750243,1.4501908427197991,0.1733882609048211,
4.12_466.0880n,467.09524810000005,4.118116667,0.09524810000004892,True,True,0.012602404512703395,0.0126907506084802,False, 0um_Ce 250um_Ce insource,1.4502290821508437,2.628577393476476,0.5362808102944188,
9.34_564.6443m/z,564.6442923,9.339116667,0.6442922999999611,True,False,,,True, Blanks,,,,
2.32_205.0978m/z,205.09775180000003,2.318116667,0.09775180000002592,True,True,0.052466072127372934,0.052075844482708834,False, Media insource,0.5896490305063614,1.3224942269263,-0.7620716024635809,
0.72_203.9632n,226.9524236,0.7170833329999999,0.952423600000003,True,True,0.009277340697605269,0.009714604154777777,False, 0um_Ce 250um_Ce Media insource,0.943299143423804,1.3928221498388014,-0.08421273724719976,
4.11_1776.4112n,1777.418455,4.110983333,0.4184549999999945,True,True,0.0497515658650837,0.05446242374808143,True, 0um_Ce 250um_Ce,16.55025536341851,2.892125730048863,4.048781572263982,0
0.77_117.0796n,118.0868361,0.7742,0.0868360999999993,True,True,0.013042461162326652,0.01281037755866725,False, 0um_Ce 250um_Ce Media insource,1.1296725180591134,2.2878189441429155,0.17590460888298962,
4.62_889.2189m/z,889.2189437000003,4.623133333,0.218943700000068,True,True,0.0323882113893585,0.02811554685119879,False, 0um_Ce 250um_Ce insource,3.28876831053367,2.078524637368264,1.7175473757568305,
3.61_305.1027m/z,305.1027329,3.605833333,0.10273289999997813,True,True,0.02585946188165716,0.023917948803061053,False, 0um_Ce 250um_Ce insource,18.413134353760654,4.766366118062469,4.2026633235163064,
4.12_180.0459n,383.0766594,4.118116667,0.07665939999998272,True,True,0.2672366861767527,0.020529152999276955,False, 0um_Ce 250um_Ce insource,3.6885599806813127,3.2393437387973782,1.8830576959040057,
2.65_515.5487m/z,515.5486666,2.6526,0.5486666000000469,True,True,0.1473768021687578,0.1077481779392459,False, 0um_Ce Media insource,0.01,1.4612679364703232,-6.6438561897747235,
0.80_325.1430m/z,325.1430066000001,0.7956333329999999,0.14300660000003518,False,True,,,True, relfil,,,,
2.55_780.2995m/z,780.2995491,2.552633333,0.29954910000003565,True,True,0.21476082977834146,0.07304116900982137,False, 0um_Ce 250um_Ce insource,0.04278141242142382,1.2946694244550123,-4.546872076141653,
2.28_229.1550m/z,229.154979,2.2824,0.1549789999999973,True,True,0.08779134637669216,0.07240759812941812,False, Media insource,0.39591918006411264,2.1051391600780573,-1.3367221353417411,
3.96_446.1218n,447.1290339,3.961483333,0.12903389999996762,True,True,0.03406173269324145,0.03568707450738552,False, 0um_Ce 250um_Ce insource,1.6499541517437215,1.862445600629853,0.7224259360038403,
2.64_245.1868m/z,245.1868425,2.638316667,0.18684249999998315,True,True,0.5006601371084306,0.11876730469381487,False, Media cv insource,100.0,1.402536741487764,6.6438561897747235,
0.77_504.1699n,527.159099,0.767066667,0.15909899999996924,True,True,0.01786893092235733,0.01662185034197964,False, 0um_Ce 250um_Ce Media insource,0.7602097612484563,1.7422569798016008,-0.3955305450698446,
3.42_401.0872m/z,401.0872196,3.420866667,0.08721960000002582,True,True,0.01954076809951012,0.02069421550406908,False, 0um_Ce 250um_Ce insource,3.2215835668086212,3.4546224050306016,1.6877700182753164,
2.44_763.8280m/z,763.8280419,2.439083333,0.8280419000000165,False,True,,,True, relfil,,,,
4.12_908.1932m/z,908.1932188,4.118116667,0.1932187999999541,True,True,0.021016829301884924,0.018474503871139542,False, 0um_Ce 250um_Ce insource,3.0709169032415757,3.071644587388425,1.618669474572578,
1.24_182.0821m/z,182.0820985,1.24385,0.08209850000000074,True,True,0.0878157411003029,0.07143198554179735,False, 0um_Ce 250um_Ce Media insource,1.0291360217463166,0.04652260723657778,0.04143367701305845,
1.21_201.5936n,202.6009339,1.20815,0.6009339000000011,True,True,0.05970724869951384,0.029697193080194667,False, 0um_Ce 250um_Ce insource,1.094077623000317,0.6157593401237793,0.12971509859198715,
4.62_422.1242n,445.1134652,4.623133333,0.11346519999995053,True,True,0.2365230489979657,0.03164909579326724,False, 0um_Ce 250um_Ce insource,2.1398259371690136,2.2321924161491737,1.0974934462542845,
4.11_845.1923m/z,845.1922738,4.110983333,0.19227379999995264,True,True,0.2770252388057712,0.03562678767752491,False, 0um_Ce 250um_Ce insource,6.413054341533508,3.21748384556584,2.6810116320203576,
4.10_685.1325n,686.1397815,4.103833333,0.13978150000002645,True,True,0.027358732515090203,0.024890322340263768,True, 0um_Ce 250um_Ce,2.403045114507114,2.9306163628672746,1.2648637337215116,0
4.13_261.0473m/z,261.0473042,4.1324,0.04730419999998503,True,True,0.2559112047680526,0.013891892069926895,False, 0um_Ce 250um_Ce insource,1.214759991010412,2.203345146568936,0.2806712982069168,
3.96_226.0959n,227.1032097,3.961483333,0.10320970000000784,True,True,0.02219790122039211,0.023106671058965654,False, 0um_Ce 250um_Ce insource,14.220371817455359,2.423869557507986,3.829887282220645,
3.63_289.1080m/z,289.1079775,3.62725,0.10797750000000406,True,True,0.03507754170544819,0.02328300752899193,False, 0um_Ce 250um_Ce insource,18.70319143766216,4.3160381974395845,4.225212561708241,
4.62_290.0781n,581.1634047,4.623133333,0.16340470000000096,False,True,,,True, relfil,,,,
0.92_647.1981m/z,647.1980698,0.916316667,0.19806979999998475,True,True,0.019005942870793,0.01789009394076636,True, 0um_Ce 250um_Ce Media,0.9578099814908542,1.054801246110827,-0.06218862467957682,2
1.46_86.0969m/z,86.09693013,1.4645166669999998,0.09693013000000407,True,True,0.473088724306501,0.02109712712208165,False, Media cv insource,0.01,,-6.6438561897747235,
0.84_477.1769m/z,477.1769328,0.838483333,0.17693279999997458,True,True,0.14482965885763707,0.14898034548261554,False, Media insource,0.7635044260695242,0.5272845985398447,-0.3892915744729046,
4.11_1130.2460m/z,1130.245974,4.110983333,0.2459739999999329,True,True,0.031267571216598004,0.030108458218699737,False, 0um_Ce 250um_Ce insource,4.324436832973312,3.2887640840637453,2.112512264268805,
0.64_270.9272m/z,270.927202,0.639233333,0.9272020000000224,True,True,0.7419168361014622,0.4619420030430523,False, 250um_Ce cv insource,100.0,2.2080573913725567,6.6438561897747235,
2.94_209.1052n,210.112519,2.944283333,0.11251899999999182,True,True,0.02544470752042995,0.019267729965976074,False, 0um_Ce 250um_Ce Media insource,3.9379124518946425,3.3778710080530248,1.9774310374402173,
4.62_340.0949m/z,340.0948663000001,4.623133333,0.09486630000003517,True,True,0.01979426196283225,0.017268894100524467,False, 0um_Ce 250um_Ce insource,1.4655138922139606,2.005198304306308,0.55140664399688,
4.45_447.1291m/z,447.1290622,4.4453,0.12906219999996438,True,True,0.3314535981665945,0.05199784750495209,False, 0um_Ce 250um_Ce cv insource,0.7936113169139453,0.7108052475153441,-0.33349549615448976,
2.44_514.8771m/z,514.8771178999998,2.439083333,0.8771178999999165,True,True,0.1136749462834324,0.07824027634304417,False, 0um_Ce 250um_Ce Media insource,1.0506698679184785,0.039500350934222994,0.07130942978037702,
4.11_461.5800n,462.58733110000014,4.110983333,0.5873311000000854,True,True,0.02478677918699009,0.024557826087808373,False, 0um_Ce 250um_Ce insource,1.722370411046679,2.7306828916254164,0.7843954404776946,
0.72_339.9382n,362.9273802,0.7170833329999999,0.9273801999999592,True,True,0.017717850738306,0.01776757043939828,False, 0um_Ce 250um_Ce Media insource,0.931313104599783,1.1054604240766437,-0.10266181591922133,
2.41_230.1633n,231.1706189,2.410366667,0.17061890000002222,True,True,0.3213582031310052,0.13876802737629065,False, Media cv insource,100.0,1.6560978734536775,6.6438561897747235,
8.02_1530.1628m/z,1530.162769,8.023266667,0.1627690000000257,True,True,0.5649773932328299,0.5207409562246225,True, Media cv,,,,
2.39_457.2531m/z,457.25310650000006,2.38895,0.2531065000000581,True,True,0.10476627421912676,0.07625073494666701,False, 0um_Ce 250um_Ce Media insource,2.63629636815001,2.470994567721644,1.3985125648930428,
0.81_210.1507m/z,210.1507495,0.809916667,0.15074950000001766,False,True,,,True, relfil,,,,
2.23_414.2244m/z,414.224392,2.232416667,0.22439199999996606,True,True,0.04849828337740735,0.02334226558525245,False, 0um_Ce 250um_Ce Media insource,1.1740258889137924,0.5358799704488489,0.2314642222433072,
3.50_607.1365n,608.1437482000001,3.499416667,0.14374820000011826,True,True,0.036514390053289054,0.02671985862073564,False, 0um_Ce 250um_Ce insource,4.981995710093275,2.031843726783729,2.316723779300584,
0.76_666.2218n,689.2110064,0.759916667,0.21100639999997384,True,True,0.03970699747995213,0.038010093979478,True, 0um_Ce 250um_Ce Media,0.6788713494609221,2.0548860546603374,-0.5587898946149394,0
4.11_1352.3005m/z,1352.30049,4.110983333,0.30049000000008164,True,True,0.4571212465537291,0.03476574982820228,False, 0um_Ce 250um_Ce cv insource,6.465665356818776,3.2597256154248635,2.6927988398871934,
2.15_472.2391m/z,472.2390528,2.147433333,0.23905279999996765,True,True,0.06556684326877812,0.06252190892934388,False, 0um_Ce 250um_Ce Media insource,2.0004372921216524,1.9767135901174084,1.000315405107878,
0.63_311.9542m/z,311.9542302,0.632083333,0.9542301999999836,True,True,0.04848001547256815,0.0577458023175844,True, 250um_Ce,100.0,2.203918709681394,6.6438561897747235,0
1.73_254.1616m/z,254.161649,1.7275,0.16164900000001126,True,True,0.02002940204795573,0.01921954158576195,True, 0um_Ce 250um_Ce Media,0.9901711924624792,0.1423004625528753,-0.014250118013147624,2
0.72_271.9508n,566.8903117000001,0.7170833329999999,0.8903117000000975,True,True,0.019992001960910763,0.021307973525168455,False, 0um_Ce 250um_Ce Media insource,0.932373816361138,1.150229372641252,-0.1010196047238298,
2.30_231.1705m/z,231.1704879,2.2966833330000003,0.1704879000000119,True,True,0.8390798395127057,0.8333633927876662,False, Media cv insource,85.7384647037009,0.4839078457914997,6.421870678310172,
2.66_798.2693m/z,798.2693081,2.65975,0.2693080999999893,True,True,0.04245268619973284,0.03838309909595642,True, 0um_Ce 250um_Ce,0.6812839371141316,1.2760509853000457,-0.5536719026802954,0
5.01_1107.0524m/z,1107.052414,5.014483333,0.05241399999999885,True,True,0.03125354286159353,0.03263420033994063,False, 0um_Ce 250um_Ce insource,0.859948773144468,1.0182847784995113,-0.21767737336522253,
0.92_438.1258m/z,438.12579360000007,0.923466667,0.12579360000006545,True,True,0.015355130398574827,0.014692595396010916,True, 0um_Ce 250um_Ce Media,0.9303926011327612,1.804735787410188,-0.1040884709389962,0
2.46_263.1395m/z,263.1394721,2.4605,0.13947209999997767,True,True,0.058673636889050675,0.044107319394370216,False, 0um_Ce 250um_Ce Media insource,1.6611330674655835,2.624128076815716,0.7321676471011604,
2.22_247.1295m/z,247.1295325,2.218133333,0.1295325000000105,False,True,,,True, relfil,,,,
3.96_284.0685m/z,284.0684892,3.961483333,0.0684891999999877,True,True,0.01775246647926421,0.01905498837131752,False, 0um_Ce 250um_Ce insource,1.2129269857749652,1.5356297855696892,0.2784927075641221,
3.11_235.0972m/z,235.0971572,3.108066667,0.09715719999996963,True,True,0.031106668759099787,0.02543100980420656,False, 0um_Ce 250um_Ce insource,3.0425027002207723,4.077860461618076,1.6052585433312432,
0.94_165.5441m/z,165.5440594,0.93775,0.544059400000009,True,True,0.011699632182297479,0.011324468868178807,True, 0um_Ce 250um_Ce Media,1.0649019999932392,0.9454183479678072,0.09072066929697488,0
4.69_328.1421m/z,328.14205489999995,4.6874,0.14205489999994825,True,True,0.027969836025012487,0.02376737075926655,False, 0um_Ce 250um_Ce insource,0.29368491434569444,3.19308870685286,-1.767658933949212,
0.81_210.2631m/z,210.26308,0.809916667,0.2630799999999738,False,True,,,True, relfil,,,,
4.12_484.6006m/z,484.6005848,4.118116667,0.6005848000000356,True,True,0.02356741525703664,0.02395439171738249,False, 0um_Ce 250um_Ce insource,1.6782716887729217,2.6432853806552608,0.7469762868843464,
2.66_790.2842m/z,790.2842297999997,2.65975,0.2842297999999346,True,True,0.28646079643960626,0.04907436752527928,False, 0um_Ce 250um_Ce insource,0.661283757430656,1.1349927001110027,-0.5966586286100981,
0.93_332.5823n,333.5895974,0.9306,0.5895974000000024,True,True,0.0212110272283115,0.02062346397063249,True, 0um_Ce 250um_Ce Media,0.9563965854954062,1.0826126698475054,-0.06431911550452793,0
2.82_279.1712m/z,279.1711725,2.823583333,0.1711725000000115,True,True,0.25775264766524075,0.13313891975675918,True, 250um_Ce Media,16.455380006927324,1.2541298947806283,4.040487438139613,4
0.92_542.6624m/z,542.6624271000002,0.916316667,0.6624271000000589,True,True,0.020373245296829826,0.0195067293933184,True, 0um_Ce 250um_Ce Media,0.9058977103324656,1.8633920492964613,-0.14257993769243274,0
1.46_293.1483n,294.1555709,1.457383333,0.15557089999998652,True,True,0.027873494449213315,0.02593191981010563,True, 0um_Ce 250um_Ce Media,0.6054418413335977,2.5267232474292225,-0.723939713414392,0
4.62_1139.3357m/z,1139.335673,4.623133333,0.3356730000000425,False,True,,,True, relfil,,,,
0.72_475.9133n,498.9025541,0.7170833329999999,0.9025541000000316,True,True,0.022096498839626482,0.020314862908969868,False, 0um_Ce 250um_Ce Media insource,0.9330187930205444,1.182151532538125,-0.10002195451291396,
1.88_160.5911n,322.1827852,1.8839,0.18278520000001208,True,True,0.09169881318778976,0.07184586748512745,False, 0um_Ce 250um_Ce Media insource,2.8152526335760832,2.026343939099533,1.4932643918804396,
4.10_507.1151n,508.1223541,4.103833333,0.12235409999999547,True,True,0.020194333540399883,0.02447972391693684,False, 0um_Ce 250um_Ce insource,1.3606594050555143,2.5774341739544857,0.44430598224843226,
3.72_322.1060n,345.095237,3.719383333,0.09523699999999737,False,True,,,True, relfil,,,,
4.62_319.5808m/z,319.5807783,4.623133333,0.5807783000000201,True,True,0.017767666511849592,0.016483895312040368,False, 0um_Ce 250um_Ce insource,1.4953812612072597,2.1257860784037734,0.5805133596927399,
2.54_245.1869m/z,245.1869001,2.53835,0.1869001000000025,True,True,0.8780850772079817,0.8835392071172996,False, Media cv insource,0.5072871394166087,0.11391468978677365,-0.9791255087038724,
0.63_153.9915m/z,153.9914967,0.632083333,0.991496699999999,True,True,0.014893452038235716,0.017187939918113286,False, 250um_Ce insource,100.0,2.521851341492499,6.6438561897747235,
2.15_233.1501m/z,233.1501205,2.147433333,0.1501205000000141,True,True,0.5263756715498399,0.0590596216214409,False, Media cv insource,11.190861259852305,2.103182954426937,3.484249166724746,
0.91_751.7341m/z,751.7340606,0.909183333,0.7340606000000207,True,True,0.023305312114820304,0.01941778301861209,False, 0um_Ce 250um_Ce Media insource,0.9936690249659528,0.07400163339071422,-0.009162701404170076,
2.66_772.8156m/z,772.8155541,2.65975,0.8155540999999857,True,True,0.3771800980429908,0.2761949568027196,False, 0um_Ce 250um_Ce cv insource,0.038512291214329336,1.3166420906947849,-4.698537233733549,
0.80_457.1067m/z,457.1066851,0.802766667,0.10668509999999287,True,True,0.035453745133317595,0.035004810955430066,True, 0um_Ce 250um_Ce Media,1.0469628199153784,0.54251785307656,0.0662102097222799,0
0.77_400.0756n,423.0647795,0.767066667,0.06477949999998599,True,True,0.021414780127278682,0.016428844309948332,False, 0um_Ce 250um_Ce Media insource,0.2068619583597628,3.2553355682706617,-2.2732597350051305,
0.80_248.0360m/z,248.03597,0.7956333329999999,0.035970000000020264,True,True,0.03464531656226929,0.03236492187313977,True, 0um_Ce 250um_Ce Media,1.0971594451553273,1.0345193826736894,0.13377320123738504,0
0.77_828.2744n,851.2638925000001,0.767066667,0.2638925000001109,True,True,0.026989535544903333,0.02614456018012224,False, 0um_Ce 250um_Ce Media insource,1.0564781465676636,0.27509129229294793,0.07926292518621343,
2.19_231.1704m/z,231.1704455,2.190283333,0.17044549999999958,True,True,0.8749328957728011,0.8793274231148337,False, Media cv insource,37.42688505460021,0.3514929996984425,5.226003076246147,
2.17_270.1928m/z,270.1927667,2.16885,0.19276669999999285,True,True,0.02047619539956452,0.0193835537763112,False, 0um_Ce 250um_Ce Media insource,0.9723384145076734,0.34709631709955113,-0.04046957533607498,
3.46_463.1240m/z,463.1239987,3.463716667,0.12399869999995873,True,True,0.040134401367065836,0.03965463966332367,False, 0um_Ce 250um_Ce insource,0.12781823122341435,3.7521096383539643,-2.9678344665857592,
1.98_328.1444m/z,328.1443718999999,1.983883333,0.14437189999995326,True,True,0.035413267939260064,0.03216068711957895,False, 0um_Ce 250um_Ce Media insource,0.7086357752068574,1.881581832266649,-0.4968837936836424,
2.60_121.0924n,265.1548442,2.595483333,0.1548441999999568,False,True,,,True, relfil,,,,
0.81_419.2518m/z,419.2518289,0.809916667,0.25182889999996405,True,True,0.09710637037273794,0.10177731207859034,True, 0um_Ce 250um_Ce Media,0.8689635061281403,0.6222721525031483,-0.2026325054581596,1
4.13_290.0572n,313.0714736,4.12525,0.07147359999999026,True,True,0.04378598890806127,0.041418760313432036,False, 0um_Ce 250um_Ce insource,3.9557680797808032,3.042640523520296,1.983957845723373,
4.11_341.0665m/z,341.0664682000001,4.110983333,0.06646820000003117,True,True,0.03492356600046218,0.03706270458590463,False, 0um_Ce 250um_Ce insource,3.5796702428935916,3.143527911834982,1.8398266933962817,
4.11_295.0608m/z,295.0608364,4.110983333,0.060836399999971036,True,True,0.040136052679328016,0.033896232617992635,False, 0um_Ce 250um_Ce insource,4.6010835939627155,3.1495256939033185,2.2019736680255737,
0.71_634.8772m/z,634.8771666,0.7099333329999999,0.8771666000000096,True,True,0.020521896193036338,0.017891589129932137,False, 0um_Ce 250um_Ce Media insource,0.9207250114913036,1.3033996728863164,-0.11915775702439745,
1.91_217.1553m/z,217.15529280000004,1.905333333,0.15529280000004064,False,True,,,True, relfil,,,,
3.60_322.1057n,345.0949405,3.5987,0.09494050000000698,False,True,,,True, relfil,,,,
2.20_499.2712m/z,499.2711508,2.20385,0.27115080000004355,True,True,0.2091806156169596,0.19963416117799285,True, 0um_Ce 250um_Ce Media,2.0515795593895905,1.1842954465539852,1.036735102420178,3
2.09_242.1868m/z,242.1867752,2.090283333,0.1867751999999996,True,True,0.023051729369598747,0.019433593415222813,False, 0um_Ce 250um_Ce Media insource,0.959115503616216,0.5800109761679104,-0.06022352942484099,
1.97_490.2093m/z,490.209329,1.9696,0.2093290000000252,True,True,0.056273645945990505,0.06361115560645438,True, 0um_Ce 250um_Ce Media,1.0435888841310448,0.14869764900139076,0.061553482370316576,3
0.79_412.1259m/z,412.1259431,0.788483333,0.12594310000002906,True,True,0.06887045893219157,0.0590992253821234,True, 0um_Ce 250um_Ce Media,0.3914487855855252,1.0972689405769136,-1.35310452712836,0
2.15_203.1395m/z,203.1395289,2.154566667,0.13952890000001614,True,True,0.6674584556226594,0.2556763262793141,False, Media cv insource,14.299745524007573,0.4738508333419281,3.8379175681484408,
4.11_427.1027m/z,427.1026823,4.110983333,0.10268229999996947,True,True,0.02640689927474627,0.025350293179230616,False, 0um_Ce 250um_Ce insource,4.159949327835909,3.1266316611840987,2.056565955067068,
4.11_664.1259m/z,664.1259491000002,4.110983333,0.12594910000007076,True,True,0.02698604540565842,0.02982793414162465,True, 0um_Ce 250um_Ce,2.3839945872683272,3.072327171261592,1.2533809602421857,0
4.10_281.5609m/z,281.5608716,4.0967,0.5608715999999845,True,True,0.020308535230594067,0.024386121322035118,True, 0um_Ce 250um_Ce,1.2442031251048882,2.2566892471403976,0.3152220350337391,0
5.14_395.1131m/z,395.113142,5.135166667,0.11314199999998208,True,True,0.038965218913555255,0.03664695342357496,True, 0um_Ce 250um_Ce,0.1965803101005247,1.8457577079607164,-2.3468092693579514,3
2.82_242.1276n,243.1348669,2.816433333,0.13486690000002,True,True,0.3884572578012702,0.23161415971691465,False, Media cv insource,2.9058869282386564,1.125549891290312,1.5389785669614375,
