Compound,m/z,Retention time (min),kmd,pass_relfil,pass_blnkfil,average CV,median CV,pass_cvfil,pass_insource,groups,fc,max,logmax,-logp,p,qval,-logq
2.37_462.1416m/z,462.14161050000007,2.3674,0.1416105000000698,True,True,0.46928336804598103,0.1741513023337263,True,True, 0um_Ce 250um_Ce Media,1.0031870235739693,50.83495049333334,1.7061624049466129,0.0017085931550574062,0.9960735476229918,0.9960735476229918,0.001708593155057406
3.14_211.1447m/z,211.1446606,3.143783333,0.1446606000000088,True,True,0.024018921894180485,0.023102180523286216,True,True, 0um_Ce 250um_Ce Media,1.000309561082958,961.1411229666666,2.982787159183624,0.004571360138787112,0.9895292581953856,0.9906060038517462,0.0040990441793430955
0.84_196.0613m/z,196.06134440000002,0.838483333,0.061344399999995865,True,True,0.14067827894837526,0.1447501259776144,True,True, 0um_Ce 250um_Ce Media,0.9933322401086784,15.390716839999998,1.1872588480580064,0.01802873417494721,0.9593371569041576,0.9614272160695261,0.017083588030634377
0.92_702.1469m/z,702.1468906,0.923466667,0.1468906000000061,True,True,0.08802065406590373,0.0845462603851608,True,True, 0um_Ce 250um_Ce Media,0.9931798229279659,57.78169549666666,1.7617902812610853,0.027482326340121103,0.9386802355863524,0.9417511632927418,0.026063834664586914
0.71_684.8499m/z,684.8499028,0.7099333329999999,0.8499027999999953,True,True,0.17052376293590474,0.18407586569331866,True,True, 0um_Ce 250um_Ce Media,1.0117251849075641,67.61197006111111,1.8300235904872864,0.029833224858826838,0.9336127522918614,0.9376896638739219,0.027940871181121932
1.49_212.1035m/z,212.1035453,1.48595,0.1035453000000075,True,True,0.052434556393251563,0.048850948230637584,True,True, 0um_Ce 250um_Ce Media,0.9925965856420548,199.15486637777786,2.2991909229230743,0.04712671840477398,0.8971669810058172,0.9020695328145921,0.044759985125666986
0.84_371.1308n,765.2394746,0.838483333,0.2394745999999941,True,True,0.15270163519520416,0.13721369806721995,True,True, 0um_Ce 250um_Ce Media,1.0224178482975204,50.54087834222222,1.7036427851870946,0.053661515333036015,0.883768432122352,0.8895699754404418,0.05081988372131217
0.84_577.2243m/z,577.2243382,0.838483333,0.2243382000000338,True,True,0.12620169599614905,0.07980001967990895,True,True, 0um_Ce 250um_Ce Media,0.9734690615181326,58.345948742666685,1.7660107061434005,0.06198648594390215,0.8669888536596209,0.873636084739158,0.0586694361326458
2.45_158.5574m/z,158.55744740000003,2.45335,0.5574474000000293,True,True,0.038529800343554285,0.025018411696646536,True,True, 0um_Ce 250um_Ce Media,0.9871925516758804,109.11305568888888,2.037876718273142,0.06362593153171524,0.8637221725199966,0.8712986828052597,0.05983294251457618
0.92_425.1605m/z,425.1605063,0.923466667,0.16050630000000865,True,True,0.16105580313776433,0.15452443298285634,True,True, 0um_Ce 250um_Ce Media,0.9702279274114556,44.30916712555555,1.646493586723671,0.07236562653717618,0.8465144452218827,0.8548773760747882,0.06809617616461916
0.75_865.0855m/z,865.0854763,0.752783333,0.08547629999998207,True,True,0.1410772678011562,0.0964293673000177,True,True, 0um_Ce 250um_Ce Media,0.9621022184575668,49.80331288588889,1.697258232723707,0.09568810552615112,0.8022540061503232,0.8110699842398872,0.09094167050168946
3.29_162.5546m/z,162.55456230000001,3.2859,0.5545622999999864,True,True,0.1636857267567106,0.1795292717296857,True,True, 0um_Ce 250um_Ce Media,0.9586148637585028,20.123171399999997,1.303696426333277,0.1020574127297064,0.7905741090160037,0.8001410124254382,0.09683346860611859
1.23_111.5315m/z,111.531457,1.229566667,0.5314570000000032,True,True,0.11280889020992095,0.1068538128097364,True,True, 0um_Ce 250um_Ce Media,1.0354968845971209,45.17564076222222,1.654904321222428,0.110962708179645,0.7745283018255935,0.7847643586779142,0.10526072935517485
0.72_593.8270m/z,593.8270052999999,0.724216667,0.8270052999998825,True,True,0.12720454185087396,0.12952243142785932,True,True, 0um_Ce 250um_Ce Media,1.0411598110016078,47.79783172677778,1.6794081959750056,0.12002919118406392,0.758526588810478,0.7693985244825134,0.11384865089860391
0.77_661.0821m/z,661.0821139999998,0.767066667,0.0821139999998195,True,True,0.2396625760435795,0.14779779167095478,True,True, 0um_Ce 250um_Ce Media,1.1879185871102227,28.072126071444444,1.4482753056209186,0.12610238918230546,0.7479931330067124,0.7595515257904806,0.1194427595135633
0.68_424.8982m/z,424.8981988,0.6820666670000001,0.8981987999999888,True,True,0.1006481917835596,0.09284954434362068,True,True, 0um_Ce 250um_Ce Media,1.0262786325981892,43.98170288555556,1.6432720403836365,0.1422917352837861,0.7206232412722362,0.732567272895533,0.13515248714343409
2.48_211.1082m/z,211.10823399999998,2.4819166669999997,0.10823400000001017,True,True,0.10037171299035688,0.11263027600224565,True,True, 0um_Ce 250um_Ce Media,1.0240998353457085,46.90186401444446,1.6711901031649907,0.14347892305679452,0.7186560349573323,0.7313756107972852,0.1358595261866025
2.83_340.1881m/z,340.1881075,2.830716667,0.18810750000000093,True,True,0.15901430018192467,0.12446910996893175,True,True, 0um_Ce 250um_Ce Media,0.9421142304451584,16.91717323,1.2283277964586872,0.15769195855231624,0.6955174674035014,0.7086113732128696,0.14959188152026678
0.72_378.9015m/z,378.9014798,0.7170833329999999,0.9014798000000042,True,True,0.02619261761180585,0.02200497962457494,True,True, 0um_Ce 250um_Ce Media,0.9870550691191032,198.46865337777768,2.2976919229878567,0.16017925603815045,0.6915454750310261,0.7053457173265455,0.15159796623453692
0.65_218.9710m/z,218.97101890000002,0.653516667,0.97101889999999,True,True,0.7308160461524419,0.0914477788076458,True,True, 250um_Ce,0.44473653172220257,54.72097083,1.7381537937992622,0.1833621937877717,0.6555982810702257,0.6694233280628274,0.1742991574212794
2.45_256.1076m/z,256.1075928,2.446216667,0.10759280000002036,True,True,0.205874533786375,0.16560533016695878,True,True, 0um_Ce 250um_Ce Media,0.9309347641917476,16.40755015111111,1.2150437403900325,0.1861456785585161,0.651409850262505,0.6658856247127829,0.17660036065228568
0.72_514.8768m/z,514.8768268,0.7170833329999999,0.8768268000000035,True,True,0.0390576102392799,0.0360453076732166,True,True, 0um_Ce 250um_Ce Media,0.9860009404449308,174.59546153333335,2.2420329503853185,0.18959883304978095,0.6462509089706555,0.6613468701368221,0.17957069743745438
0.77_765.1804m/z,765.1803636,0.767066667,0.1803635999999642,True,True,0.15535544992472164,0.05524040646018725,True,True, 0um_Ce 250um_Ce Media,1.1427681692906135,347.2025762111112,2.5405829389414327,0.20335529734001226,0.6261014400281426,0.6414402280911929,0.1928438066617613
0.72_637.8511m/z,637.8510824,0.724216667,0.8510823999999957,True,True,0.1224357294861924,0.0997434034176852,True,True, 0um_Ce 250um_Ce Media,0.9302021576196076,47.67485780677777,1.6782894064097291,0.2362234953946086,0.5804656230727976,0.5953493569977412,0.2252281110931454
3.04_211.1447m/z,211.14467340000002,3.0364,0.14467339999998785,True,True,0.02641816615606576,0.0265252090218208,True,True, 0um_Ce 250um_Ce Media,0.9836064394756496,640.9588506111112,2.8068301488227627,0.23737084990355226,0.578934125654462,0.5944412897344923,0.22589103222012213
2.19_253.0842m/z,253.0841625,2.190283333,0.08416249999999081,True,True,0.22742501082747346,0.1274945686908201,True,True, 0um_Ce 250um_Ce Media,0.8059747088457567,50.23077129,1.7009698467723149,0.2414781193896341,0.5734847591084805,0.5895038864578794,0.22951332735999075
0.72_174.9388m/z,174.9387821,0.724216667,0.9387820999999974,True,True,0.09526971808085724,0.0903444847749107,True,True, 0um_Ce 250um_Ce Media,0.9475062388144968,21.103019217777774,1.3243445944359389,0.24898330474648694,0.5636593237375216,0.5800521004905144,0.2365329961968494
0.81_128.1075m/z,128.1074747,0.809916667,0.10747470000001158,True,True,0.15582959540400346,0.1344726237459798,True,True, 0um_Ce 250um_Ce Media,0.90658818178998,27.60032982111111,1.440914271870751,0.2665111138523511,0.5413633938963618,0.5577316040141689,0.2535747453953423
1.24_245.1600m/z,245.16001009999997,1.236716667,0.16001009999999385,True,True,0.07649971792929297,0.06192268462666109,True,True, 0um_Ce 250um_Ce Media,0.9276965939127932,189.1817355,2.276879205245176,0.28465293937412584,0.5192147967423506,0.5355130190616172,0.27122996640469366
5.46_398.2445m/z,398.2445478,5.455533332999999,0.24454780000002074,True,True,0.3871776843819492,0.1046981088297818,True,True, 0um_Ce 250um_Ce Media,0.5967852367331291,74.76835492377778,1.8737178252717253,0.28836530278890177,0.5147954469856786,0.5315508543510935,0.2744551794802213
0.79_132.0771m/z,132.0771151,0.788483333,0.07711509999998611,True,True,0.1234006836996649,0.10927095502039977,True,True, 0um_Ce 250um_Ce Media,1.0731358290613036,13.162802705555556,1.1193483717977804,0.2932207961945319,0.5090719920232738,0.5262317220914741,0.27882297549388935
0.79_596.1607m/z,596.160747,0.788483333,0.16074700000001485,True,True,0.1691343478542454,0.14806568721678384,True,True, 0um_Ce 250um_Ce Media,1.1344434482525143,16.99773257888889,1.2303909923104526,0.3047033661003399,0.49578871116575196,0.5130771814088771,0.2898172997249983
2.30_215.1383m/z,215.1382966,2.2966833330000003,0.13829659999998967,True,True,0.07068282868551187,0.07921735553223208,True,True, 0um_Ce 250um_Ce Media,0.9585325677181128,52.06555302888889,1.7165504857323601,0.30640797081849275,0.49384655572767544,0.5116428280061502,0.2910331092515385
0.72_640.8226m/z,640.822591,0.724216667,0.8225909999999885,True,True,0.122108161172593,0.11227959223795343,True,True, 0um_Ce 250um_Ce Media,1.0830785972333197,40.400064082222215,1.6063820539851947,0.31863951320586464,0.4801318174245921,0.49799466970758144,0.30277530569203576
0.72_582.8641m/z,582.8641203,0.7170833329999999,0.8641202999999678,True,True,0.062930550409784,0.051245949232245236,True,True, 0um_Ce 250um_Ce Media,1.0485645847123302,208.91773707777787,2.3199753130679017,0.3444013604329718,0.4524792204564325,0.4698429828667245,0.3280472549744673
0.92_438.1258m/z,438.12579360000007,0.923466667,0.12579360000006545,True,True,0.015355130398574847,0.01469259539601092,True,True, 0um_Ce 250um_Ce Media,1.0078862328523492,1903.5370192222226,3.2795613272168964,0.3490465832488019,0.4476652841746689,0.46536956094993825,0.33220202660107206
1.23_91.0179m/z,91.0179004,1.229566667,0.017900400000002037,True,True,0.12302430877940428,0.12042428483282673,True,True, 0um_Ce 250um_Ce Media,1.1310882785292158,37.03862236333333,1.5686548249016616,0.3631501333230029,0.4333610418524927,0.4510092290772548,0.3458145709905207
4.54_761.1715m/z,761.1715343,4.544583333,0.17153429999996206,True,True,0.4780397686445713,0.07886385255207805,True,True, 250um_Ce,0.01,135.45197824222222,2.1317853521776566,0.3679270396694667,0.4286205214693808,0.4481032724452617,0.3486218844740801
4.12_1350.3492m/z,1350.349155,4.118116667,0.3491550000001098,True,True,0.4935352078518108,0.10020074296448482,True,True, 250um_Ce,100.0,167.4531194111111,2.2238932422336872,0.3679270396694667,0.4286205214693808,0.4481032724452617,0.3486218844740801
3.15_267.0845m/z,267.08445109999997,3.1509166669999997,0.08445110000002387,True,True,0.4862084933915698,0.08210659456032958,True,True, 250um_Ce,100.0,75.43169519222222,1.8775538678161068,0.3679270396694667,0.4286205214693808,0.4481032724452617,0.3486218844740801
2.93_679.2276m/z,679.2275904,2.93,0.2275904000000537,True,True,0.543687957471322,0.16043354186424394,True,True, 250um_Ce,100.0,31.72098379222223,1.5013466480310629,0.3679270396694667,0.4286205214693808,0.44759464217006845,0.3491151207359594
4.15_1193.3120m/z,1193.312029,4.153816667,0.3120289999999386,True,True,0.4979175103196787,0.0978695098703612,True,True, 250um_Ce,0.01,174.16048902222232,2.240949635482708,0.3679270396694667,0.4286205214693808,0.44708716525150827,0.34960779745573123
5.84_401.1189m/z,401.1188737,5.839733333,0.11887369999999466,True,True,0.5014877227072294,0.10563980236720608,True,True, 250um_Ce,100.0,42.546413534444454,1.6288629569506432,0.3679270396694667,0.4286205214693808,0.44658083777104224,0.35009991590148004
3.18_368.0783m/z,368.0782789,3.1794833330000003,0.0782788999999866,True,True,0.5300865739270281,0.17221262658974418,True,True, 250um_Ce,0.01,22.801633938888887,1.3579659691591233,0.3679270396694669,0.4286205214693806,0.44658083777104224,0.35009991590148004
2.16_471.7295m/z,471.7294943,2.161716667,0.7294942999999989,True,True,0.506785598662194,0.10509624116747754,True,True, 250um_Ce,0.01,33.833161465555555,1.5293425813793105,0.3679270396694669,0.4286205214693806,0.44658083777104224,0.35009991590148004
7.82_546.4886m/z,546.4886126,7.824016667,0.4886126000000104,True,True,0.5533040205125459,0.17022654423623446,True,True, 250um_Ce,100.0,113.65416770000002,2.0555853659380268,0.3679270396694669,0.4286205214693806,0.44658083777104224,0.35009991590148004
4.85_253.0493m/z,253.0493489,4.850933333,0.04934890000001246,True,True,0.5319525585132527,0.18094701002620173,True,True, 250um_Ce,100.0,18.239059955555557,1.261002450953166,0.3679270396694669,0.4286205214693806,0.44658083777104224,0.35009991590148004
3.23_599.2005m/z,599.2005163,3.228766667,0.20051630000000387,True,True,0.5510791426610646,0.17460432069393014,True,True, 250um_Ce,100.0,27.127145537777785,1.4334040973954951,0.3679270396694669,0.4286205214693806,0.44658083777104224,0.35009991590148004
4.00_450.1456m/z,450.14555310000003,4.004566667,0.14555309999997235,True,True,0.5498745710099415,0.1740894048390065,True,True, 0um_Ce 250um_Ce,100.0,17.444471684444444,1.2416578211326608,0.3679270396694669,0.4286205214693806,0.44658083777104224,0.35009991590148004
4.13_921.2442m/z,921.2442192,4.1324,0.244219199999975,True,True,0.4746664020439205,0.07039099739004616,True,True, 250um_Ce,100.0,150.12755886666662,2.17646042285694,0.3679270396694669,0.4286205214693806,0.44658083777104224,0.35009991590148004
2.38_581.8142m/z,581.8141995,2.3818,0.8141994999999724,True,True,0.5209434685392621,0.14596554654763774,True,True, 250um_Ce,0.01,62.321095327777776,1.7946350776977151,0.3679270396694672,0.4286205214693803,0.44658083777104224,0.35009991590148004
2.87_383.5087m/z,383.5086738,2.872866667,0.5086737999999968,True,True,0.4546468775578626,0.031343563210494224,True,True, 250um_Ce,0.01,316.882578,2.500898362615815,0.3679270396694672,0.4286205214693803,0.44658083777104224,0.35009991590148004
5.96_495.2877m/z,495.28767489999996,5.960433332999999,0.2876749000000132,True,True,0.5071797047240441,0.11790440003790165,True,True, 250um_Ce,100.0,52.21702320555556,1.7178121098796777,0.3679270396694672,0.4286205214693803,0.44658083777104224,0.35009991590148004
2.18_513.2332m/z,513.2332003,2.1831333330000002,0.2332003000000213,True,True,0.0702013894881729,0.056464236081412385,True,True, 0um_Ce 250um_Ce Media,1.218397776632428,1709.9480010000002,3.232982903829505,0.3798361431231857,0.4170266956296902,0.4425196770234313,0.3540674132538407
3.10_576.2078m/z,576.2078230000002,3.100933333,0.2078230000001895,True,True,0.729346516113149,0.10583270529644967,True,True, 250um_Ce,100.0,95.59503364777778,1.9804353303996265,0.3844144045995683,0.4126535592785292,0.4383848435753428,0.35814446927135973
3.51_323.5462m/z,323.5462349,3.506566667,0.5462349000000017,True,True,0.4474515817257288,0.19465943794926185,True,True, 0um_Ce 250um_Ce,100.0,32.547003631111124,1.5125110123704684,0.4008318303630168,0.39734538170906597,0.4226101169622436,0.3740601104822757
3.19_346.0961m/z,346.0961423,3.186616667,0.0961422999999968,True,True,0.7481243201505094,0.1911673455464792,True,True, 0um_Ce 250um_Ce,100.0,64.72115779888888,1.8110462777817655,0.40153637542025455,0.39670130083074806,0.4224134221808892,0.3742622905535925
3.50_652.1057m/z,652.1056706,3.4994166669999998,0.10567060000005313,True,True,0.4180181413090275,0.18767818026510197,True,True, 0um_Ce 250um_Ce,100.0,29.27505401,1.4664977049817476,0.4016129236150899,0.3966313849241781,0.4224134221808892,0.3742622905535925
1.88_221.0914m/z,221.0914023,1.8839,0.0914022999999986,True,True,0.08984502005823956,0.10444914907512494,True,True, 0um_Ce 250um_Ce Media,0.9356193928918336,33.030670879999995,1.5189173946579029,0.4081011310915664,0.39074989402670024,0.4170416502373135,0.3798205695707239
0.84_435.1480m/z,435.14804330000004,0.838483333,0.14804329999998345,True,True,0.059559738621725276,0.05699893492777059,True,True, 0um_Ce 250um_Ce Media,0.956872577478179,131.73633515666666,2.119705577403843,0.4186958508960893,0.3813327883850177,0.4074636066367205,0.38991117500418876
