Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,0um_Ce,0um_Ce,0um_Ce,0um_Ce,0um_Ce,0um_Ce,0um_Ce,0um_Ce,0um_Ce,250um_Ce,250um_Ce,250um_Ce,250um_Ce,250um_Ce,250um_Ce,250um_Ce,250um_Ce,250um_Ce,Media,Media,Media,Media,Media,Media,Media,Media,Media
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,MB1112,MB1112,MB1112,MB1113,MB1113,MB1113,MB1114,MB1114,MB1114,MB1115,MB1115,MB1115,MB1116,MB1116,MB1116,MB1117,MB1117,MB1117,MB1109,MB1109,MB1109,MB1110,MB1110,MB1110,MB1111,MB1111,MB1111
Compound,m/z,Retention time (min),200826_PTY087I2_0umce1_r1,200826_PTY087I2_0umce1_r2,200826_PTY087I2_0umce1_r3,200826_PTY087I2_0umce2_r1,200826_PTY087I2_0umce2_r2,200826_PTY087I2_0umce2_r3,200826_PTY087I2_0umce3_r1,200826_PTY087I2_0umce3_r2,200826_PTY087I2_0umce3_r3,200826_PTY087I2_250umce1_r1,200826_PTY087I2_250umce1_r2,200826_PTY087I2_250umce1_r3,200826_PTY087I2_250umce2_r1,200826_PTY087I2_250umce2_r2,200826_PTY087I2_250umce2_r3,200826_PTY087I2_250umce3_r1,200826_PTY087I2_250umce3_r2,200826_PTY087I2_250umce3_r3,200826_media1_r1,200826_media1_r2,200826_media1_r3,200826_media2_r1,200826_media2_r2,200826_media2_r3,200826_media3_r1,200826_media3_r2,200826_media3_r3
0.80_627.2171n,650.2063013,0.802766667,43326.38649,43882.68009,45578.23804,43359.71046,44807.89402,44925.54654,44175.7859,44779.28226,45432.68848,46936.50804,46717.44194,44639.13434,43812.6078,44053.75013,42694.93794,43896.2723,40825.92921,44286.66295,33815.754010000004,33977.54229,33169.47338,34372.988710000005,34003.54798,33961.4707,35182.839980000004,33176.13484,34222.950110000005
0.80_875.2514m/z,875.2514369999999,0.802766667,877.8070795,876.6036155999999,950.70338,928.034673,861.2858148,926.0147424,915.720985,937.7203358,912.064587,1032.989228,977.4074411,949.9569866,1034.7640199999996,1006.981248,982.9597499,1000.601289,886.6157703,975.7406628,855.8466778999997,791.7879696,824.544226,828.6913983,867.4680563,840.3721467,903.6137017,808.641881,825.5735489
0.80_854.3230m/z,854.3230101,0.802766667,89.68663673,74.20045959999999,90.96518428,238.457328,234.3888471,239.4500506,205.9886802,213.3743246,226.5901945,525.5634866,509.8345949,496.6545543,804.4571676,818.5485271000001,776.7070609,495.2288489,408.56273260000006,461.1298091,59.65965186,68.83267679,63.21629054,60.16810222,77.22955798,67.8620149,64.74246559,61.62683315,57.34577563
0.80_457.1067m/z,457.1066851,0.802766667,1395.551856,1412.789298,1512.889225,1447.645463,1480.09179,1522.462601,1411.850323,1432.826035,1457.182132,1603.070161,1566.576264,1495.984945,1522.725661,1610.553351,1494.025128,1514.724867,1368.234214,1511.3526359999994,1619.687726,1589.882592,1523.218903,1695.2680850000006,1653.329225,1605.306745,1747.07318,1600.189944,1668.56248
0.80_668.1930m/z,668.1929621,0.802766667,15.16946447,15.80014038,20.89688104,28.90725696,16.87063581,23.19552594,21.14968872,25.47750837,15.07220304,16.29837036,11.12210083,16.94061285,7.813812256,23.18865979,5.315917969,15.15969872,4.541595459,23.49911439,32.53058843,26.80350552,36.01735141,26.06744409,41.31576148,32.38569704,38.51574731,32.24331671,18.64286062
0.80_273.0894m/z,273.08940939999997,0.802766667,33.51153931,29.8556911,38.80503155,34.13587647,30.01894052,28.3934729,28.62445499,32.6875601,32.52949563,32.86866713,35.94350224,30.25166321,32.07200623,29.57345593,29.02578063,33.583419799999994,35.68991061,32.16250478,42.22377014,38.18495681,37.96429199,39.84657202,30.60368691,31.87643607,35.17544945,29.82683286,34.96813276
0.80_441.1923m/z,441.1923191000001,0.802766667,0.5759364920000001,91.69335126,135.8860407,137.0851755,86.51968391,106.8720346,0.545695027,0.544318565,0.0,0.707457276,0.0,0.976826256,0.0,1.133682046,0.0,0.0,0.0,0.442584947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.435119119
0.81_419.2518m/z,419.25182889999996,0.809916667,2998.9526202,3754.5340102000014,3140.0069026,2848.2208471,3328.5192967,3300.0553749,3577.5097561,3439.5384505999996,2827.716839,2612.3631581000004,2524.693999,3266.5063947000012,2747.2818841,3152.7286213,2308.6820765,2726.4105588,3267.1403336999997,2781.008814000001,2743.8035027,2647.0169422,2733.762780400001,2415.539518900001,2532.9021674,2383.8446934,2913.9141602,2777.8382647,2427.6860598000007
0.81_1150.9013m/z,1150.901298,0.809916667,18.62900204,20.396362300000003,20.68013057,4.065429568,12.59375,8.402343988,26.51877821,19.77062964,14.36460264,4.297546387,11.40013874,12.63656903,4.956665039,9.151695549,16.10622834,13.37841749,18.52398682,14.38150992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.631791761,0.0
0.81_1487.4957m/z,1487.495716,0.809916667,56.23954599,60.48968458,78.6899026,54.78122189,61.70491492,55.98720649999999,70.60940045,79.82444615,69.5125435,84.55757892,79.25353956,67.04684005,87.46575928,82.95649881,66.77028582,75.1698309,60.2888586,88.24691627,0.0,6.999389647999999,6.969116211,5.582506228,0.0,6.72676951,0.0,7.297546387000001,5.486206055
0.81_1370.9683m/z,1370.968307,0.809916667,121.4940078,116.5437666,147.8026519,88.33676745,72.50748161,82.67862089,138.4739584,120.9301993,133.0144199,138.51796059999998,147.1005398,117.245403,124.9751874,116.5347755,122.4009882,130.2051752,134.9311163,116.1403313,4.421447754,19.70390036,23.02618408,6.801269531,0.0,0.0,19.55550134,0.0,19.57897631
0.81_1254.9360n,1277.923657,0.809916667,56.8703032,64.11022709,66.36532666,33.73828101,42.41509059,45.91797327,61.94473148,56.72011971,59.78420376,62.85181139,55.98402157,41.16474163,71.35039837,63.15670116,61.09654325,58.55238789,55.16853933,61.51116839,10.20544446,4.465087771,10.98101783,14.50494385,5.969474236,6.284423828,10.24298096,9.556933975,9.42755127
0.81_1046.3687m/z,1046.368694,0.809916667,89.62389666,97.47825226,79.83147544,74.95735289,77.53199891,77.94183383,103.6648109,101.4516602,79.59593614,77.32664723,92.2815617,83.11062363,86.04524344,85.20648851,85.74704668,86.33821756,75.61679129,91.43314184,41.50032176,33.73915422,40.68493811,31.10437094,29.44433594,40.33477243,32.27593472,32.88451864,40.6232774
0.81_1475.5018m/z,1475.5017990000001,0.809916667,47.07098389,71.74685855,56.06677203,48.80681986,45.09352811,20.13469741,50.6778357,65.67955415,60.15164789,57.34612514,73.22702966,85.54529218,43.72556655,68.7197807,56.33743155,57.99249291,74.06170738,59.31774487,0.0,6.066345215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.81_1464.5098m/z,1464.509789,0.809916667,35.88903265,32.89260297,32.8057403,16.51825976,7.051594885,33.36868054,37.96179175,33.15990808,34.25067139,25.18621802,25.37640381,39.6360207,31.23625086,22.40845791,21.22186279,51.2996579,24.52758789,33.74398176,0.0,0.0,0.0,0.0,0.0,11.49890137,0.0,0.0,0.0
