,,,,average
0.03_102.1549m/z,102.154947,0.034316667,0um_Ce,0.0
0.03_102.1549m/z,102.154947,0.034316667,250um_Ce,0.0
0.03_102.1549m/z,102.154947,0.034316667,Blanks,10.541356403333333
0.03_102.1549m/z,102.154947,0.034316667,Media,0.0
0.04_113.9641m/z,113.9641158,0.041466667,0um_Ce,181.56876914444445
0.04_113.9641m/z,113.9641158,0.041466667,250um_Ce,170.87577249999995
0.04_113.9641m/z,113.9641158,0.041466667,Blanks,62.429988802666664
0.04_113.9641m/z,113.9641158,0.041466667,Media,184.9597056111111
0.06_182.9860m/z,182.98600990000003,0.055733333,0um_Ce,5245.060051666666
0.06_182.9860m/z,182.98600990000003,0.055733333,250um_Ce,5054.720022222223
0.06_182.9860m/z,182.98600990000003,0.055733333,Blanks,2324.4900546666668
0.06_182.9860m/z,182.98600990000003,0.055733333,Media,5148.918297333334
0.06_235.9635m/z,235.9635336,0.055733333,0um_Ce,21.983753929999995
0.06_235.9635m/z,235.9635336,0.055733333,250um_Ce,22.442474284444447
0.06_235.9635m/z,235.9635336,0.055733333,Blanks,4.73517861
0.06_235.9635m/z,235.9635336,0.055733333,Media,22.413890055555555
0.09_68.9936m/z,68.99355728,0.09145,0um_Ce,13.268916760444446
0.09_68.9936m/z,68.99355728,0.09145,250um_Ce,13.381667192333333
0.09_68.9936m/z,68.99355728,0.09145,Blanks,0.0
0.09_68.9936m/z,68.99355728,0.09145,Media,13.087275001111111
0.10_102.1549m/z,102.1548648,0.098583333,0um_Ce,0.0
0.10_102.1549m/z,102.1548648,0.098583333,250um_Ce,0.0
0.10_102.1549m/z,102.1548648,0.098583333,Blanks,6.38457505
0.10_102.1549m/z,102.1548648,0.098583333,Media,0.0
0.13_102.1552m/z,102.1551919,0.1343,0um_Ce,0.0
0.13_102.1552m/z,102.1551919,0.1343,250um_Ce,0.0
0.13_102.1552m/z,102.1551919,0.1343,Blanks,6.8743679533333335
0.13_102.1552m/z,102.1551919,0.1343,Media,0.0
0.17_213.0188m/z,213.0187886,0.17,0um_Ce,10.028770334888888
0.17_213.0188m/z,213.0187886,0.17,250um_Ce,7.963608726888889
0.17_213.0188m/z,213.0187886,0.17,Blanks,0.7249806723333333
0.17_213.0188m/z,213.0187886,0.17,Media,14.327383264444444
0.23_102.1549m/z,102.1548719,0.233566667,0um_Ce,0.0
0.23_102.1549m/z,102.1548719,0.233566667,250um_Ce,0.0
0.23_102.1549m/z,102.1548719,0.233566667,Blanks,5.853580473333333
0.23_102.1549m/z,102.1548719,0.233566667,Media,0.0
0.28_691.4629m/z,691.4628816000003,0.28355,0um_Ce,30.079597037777777
0.28_691.4629m/z,691.4628816000003,0.28355,250um_Ce,23.960362873333334
0.28_691.4629m/z,691.4628816000003,0.28355,Blanks,28.079409873333333
0.28_691.4629m/z,691.4628816000003,0.28355,Media,24.22457477
0.33_102.1550m/z,102.1550256,0.3264,0um_Ce,0.0
0.33_102.1550m/z,102.1550256,0.3264,250um_Ce,0.0
0.33_102.1550m/z,102.1550256,0.3264,Blanks,8.896089483333332
0.33_102.1550m/z,102.1550256,0.3264,Media,0.0
0.35_68.9936m/z,68.99361685,0.347833333,0um_Ce,12.420634895999997
0.35_68.9936m/z,68.99361685,0.347833333,250um_Ce,12.747210227666665
0.35_68.9936m/z,68.99361685,0.347833333,Blanks,6.898455103333333
0.35_68.9936m/z,68.99361685,0.347833333,Media,12.93798981
0.39_102.1549m/z,102.1549308,0.389966667,0um_Ce,0.0
0.39_102.1549m/z,102.1549308,0.389966667,250um_Ce,0.0
0.39_102.1549m/z,102.1549308,0.389966667,Blanks,6.036362503333333
0.39_102.1549m/z,102.1549308,0.389966667,Media,0.0
0.40_213.0184m/z,213.0184472,0.397116667,0um_Ce,3.9121467792222226
0.40_213.0184m/z,213.0184472,0.397116667,250um_Ce,2.4154889786666662
0.40_213.0184m/z,213.0184472,0.397116667,Blanks,14.906064666666666
0.40_213.0184m/z,213.0184472,0.397116667,Media,5.586029674888889
0.41_145.0360m/z,145.0360434,0.411416667,0um_Ce,576.1194473111112
0.41_145.0360m/z,145.0360434,0.411416667,250um_Ce,571.4200718666666
0.41_145.0360m/z,145.0360434,0.411416667,Blanks,427.44982580000004
0.41_145.0360m/z,145.0360434,0.411416667,Media,569.8102078333333
0.43_102.1549m/z,102.154895,0.432833333,0um_Ce,0.0
0.43_102.1549m/z,102.154895,0.432833333,250um_Ce,0.0
0.43_102.1549m/z,102.154895,0.432833333,Blanks,8.386325996666667
0.43_102.1549m/z,102.154895,0.432833333,Media,0.0
0.45_345.2033m/z,345.2033258,0.447116667,0um_Ce,6.470881658666666
0.45_345.2033m/z,345.2033258,0.447116667,250um_Ce,0.5852372911111111
0.45_345.2033m/z,345.2033258,0.447116667,Blanks,29.09208100666667
0.45_345.2033m/z,345.2033258,0.447116667,Media,19.40235614222222
0.48_102.1548m/z,102.1547695,0.475683333,0um_Ce,0.0
0.48_102.1548m/z,102.1547695,0.475683333,250um_Ce,0.0
0.48_102.1548m/z,102.1547695,0.475683333,Blanks,8.24682621
0.48_102.1548m/z,102.1547695,0.475683333,Media,0.0
0.53_102.1550m/z,102.1549732,0.532116667,0um_Ce,0.0
0.53_102.1550m/z,102.1549732,0.532116667,250um_Ce,0.0
0.53_102.1550m/z,102.1549732,0.532116667,Blanks,16.680680493333334
0.53_102.1550m/z,102.1549732,0.532116667,Media,0.0
0.57_153.7767m/z,153.776738,0.574966667,0um_Ce,0.0
0.57_153.7767m/z,153.776738,0.574966667,250um_Ce,0.0
0.57_153.7767m/z,153.776738,0.574966667,Blanks,0.0
0.57_153.7767m/z,153.776738,0.574966667,Media,15.64403101111111
0.57_201.7990m/z,201.7989858,0.574966667,0um_Ce,0.0
0.57_201.7990m/z,201.7989858,0.574966667,250um_Ce,0.0
0.57_201.7990m/z,201.7989858,0.574966667,Blanks,0.0
0.57_201.7990m/z,201.7989858,0.574966667,Media,36.38471833777778
0.58_177.4624m/z,177.46235769999996,0.5821,0um_Ce,3.0664249063333333
0.58_177.4624m/z,177.46235769999996,0.5821,250um_Ce,3.878189799222222
0.58_177.4624m/z,177.46235769999996,0.5821,Blanks,0.0
0.58_177.4624m/z,177.46235769999996,0.5821,Media,28.333485659999997
0.59_144.4417m/z,144.44173590000003,0.5892333329999999,0um_Ce,0.0
0.59_144.4417m/z,144.44173590000003,0.5892333329999999,250um_Ce,0.0
0.59_144.4417m/z,144.44173590000003,0.5892333329999999,Blanks,0.0
0.59_144.4417m/z,144.44173590000003,0.5892333329999999,Media,14.391955380777778
0.59_203.2244m/z,203.2243682,0.5892333329999999,0um_Ce,0.0
0.59_203.2244m/z,203.2243682,0.5892333329999999,250um_Ce,0.0
0.59_203.2244m/z,203.2243682,0.5892333329999999,Blanks,0.0
0.59_203.2244m/z,203.2243682,0.5892333329999999,Media,16.058793913444443
0.59_250.8096m/z,250.8096315,0.5892333329999999,0um_Ce,0.0
0.59_250.8096m/z,250.8096315,0.5892333329999999,250um_Ce,0.0
0.59_250.8096m/z,250.8096315,0.5892333329999999,Blanks,0.0
0.59_250.8096m/z,250.8096315,0.5892333329999999,Media,58.08654070777778
0.60_129.1388m/z,129.1387813,0.6035166670000001,0um_Ce,0.0
0.60_129.1388m/z,129.1387813,0.6035166670000001,250um_Ce,0.0
0.60_129.1388m/z,129.1387813,0.6035166670000001,Blanks,0.0
0.60_129.1388m/z,129.1387813,0.6035166670000001,Media,14.73445242511111
0.60_146.1659m/z,146.1658862,0.596383333,0um_Ce,0.0
0.60_146.1659m/z,146.1658862,0.596383333,250um_Ce,0.0
0.60_146.1659m/z,146.1658862,0.596383333,Blanks,0.0
0.60_146.1659m/z,146.1658862,0.596383333,Media,163.9157593777778
0.60_182.7792m/z,182.7791669,0.596383333,0um_Ce,0.0
0.60_182.7792m/z,182.7791669,0.596383333,250um_Ce,0.0
0.60_182.7792m/z,182.7791669,0.596383333,Blanks,0.0
0.60_182.7792m/z,182.7791669,0.596383333,Media,20.770182000000002
0.60_220.1359m/z,220.1359187,0.6035166670000001,0um_Ce,0.0
0.60_220.1359m/z,220.1359187,0.6035166670000001,250um_Ce,0.0
0.60_220.1359m/z,220.1359187,0.6035166670000001,Blanks,0.0
0.60_220.1359m/z,220.1359187,0.6035166670000001,Media,9.600003416333331
0.60_308.2184m/z,308.2183833,0.596383333,0um_Ce,0.0
0.60_308.2184m/z,308.2183833,0.596383333,250um_Ce,0.0
0.60_308.2184m/z,308.2183833,0.596383333,Blanks,0.0
0.60_308.2184m/z,308.2183833,0.596383333,Media,40.035562847777776
0.60_397.4459m/z,397.4459408,0.6035166670000001,0um_Ce,0.0
0.60_397.4459m/z,397.4459408,0.6035166670000001,250um_Ce,3.416119755333334
0.60_397.4459m/z,397.4459408,0.6035166670000001,Blanks,0.0
0.60_397.4459m/z,397.4459408,0.6035166670000001,Media,0.0
0.61_138.1082m/z,138.10819119999996,0.610666667,0um_Ce,0.02601718111111111
0.61_138.1082m/z,138.10819119999996,0.610666667,250um_Ce,0.013533427666666665
0.61_138.1082m/z,138.10819119999996,0.610666667,Blanks,0.0
