,,,average,average,average,average,biolRSD,biolRSD,biolRSD,biolRSD,bioln,bioln,bioln,bioln,techRSD,techRSD,techRSD,techRSD,techn,techn,techn,techn,combRSD,combRSD,combRSD,combRSD,combASD,combASD,combASD,combASD,neff,neff,neff,neff
,,,0um_Ce,250um_Ce,Blanks,Media,0um_Ce,250um_Ce,Blanks,Media,0um_Ce,250um_Ce,Blanks,Media,0um_Ce,250um_Ce,Blanks,Media,0um_Ce,250um_Ce,Blanks,Media,0um_Ce,250um_Ce,Blanks,Media,0um_Ce,250um_Ce,Blanks,Media,0um_Ce,250um_Ce,Blanks,Media
0.03_102.1549m/z,102.15494699999999,0.034316667,0.0,0.0,10.541356403333333,0.0,0.0,0.0,0.0,0.0,3,3,1,3,0.0,0.0,1.732050807568877,0.0,3,3,3,3,,,1.732050807568877,,0.0,0.0,18.258164871264853,0.0,0.0,0.0,0.0,0.0
0.04_113.9641m/z,113.9641158,0.041466667,181.56876914444442,170.87577249999995,62.42998880266666,184.9597056111111,0.020048824879198297,0.018464492185564563,0.0,0.12113073406756025,3,3,1,3,0.16842664250447095,0.1417034402636278,1.0334279167507716,0.1940288356019769,3,3,3,3,0.1696157106059625,0.14290137317121313,1.0334279167507716,0.22873531380354234,30.7969158022849,24.418382531941813,64.5168932711138,42.30681630396831,3.0566668492861915,3.067896713809852,0.0,4.353387247658384
0.06_182.9860m/z,182.98600990000003,0.055733332999999996,5245.060051666666,5054.720022222223,2324.4900546666668,5148.918297333334,0.009435744065305509,0.007979507707810694,0.0,0.006750508991579118,3,3,1,3,0.10774010804310008,0.13090588861333655,0.4330532474154173,0.10310570931693036,3,3,3,3,0.10815250411897463,0.13114886281209717,0.4330532474154173,0.10332645675427339,567.2663788421485,662.920782747983,1006.6279667582409,532.0194837806997,3.030678345522644,3.014862361702427,0.0,3.017145873805132
0.06_235.9635m/z,235.9635336,0.055733332999999996,21.983753929999995,22.44247428444445,4.73517861,22.413890055555555,0.0507700416298921,0.04165639808511901,0.0,0.066950657934969,3,3,1,3,0.187662667526993,0.17571245354640316,1.7320508075688774,0.046062347290953536,3,3,3,3,0.19440903762543474,0.18058272850060383,1.7320508075688774,0.08126580114585497,4.273840444925668,4.052723240589615,8.201569935433374,1.821482732159834,3.2912050956344556,3.2241035133136937,0.0,4.546819433984414
0.09_68.9936m/z,68.99355728,0.09145,13.268916760444446,13.381667192333332,0.0,13.087275001111115,0.08057861613010893,0.07029539266193366,0.0,0.019293632125026168,3,3,1,3,0.2296425847535788,0.2780718535575992,0.0,0.13523995065264013,3,3,3,3,0.2433693286134226,0.2868194518690362,,0.1366092547857003,3.229247363416755,3.8381224491989103,0.0,1.7878428850773145,3.4851328617127906,3.2545831346232545,0.0,3.081376332468459
0.10_102.1549m/z,102.1548648,0.09858333300000001,0.0,0.0,6.38457505,0.0,0.0,0.0,0.0,0.0,3,3,1,3,0.0,0.0,1.7320508075688772,0.0,3,3,3,3,,,1.7320508075688772,,0.0,0.0,11.058408371336604,0.0,0.0,0.0,0.0,0.0
0.13_102.1552m/z,102.1551919,0.1343,0.0,0.0,6.8743679533333335,0.0,0.0,0.0,0.0,0.0,3,3,1,3,0.0,0.0,1.7320508075688774,0.0,3,3,3,3,,,1.7320508075688774,,0.0,0.0,11.90675456509661,0.0,0.0,0.0,0.0,0.0
0.17_213.0188m/z,213.0187886,0.17,10.028770334888886,7.963608726888889,0.7249806723333333,14.327383264444444,0.10911691511457182,0.36630227922519343,0.0,0.2638526760921911,3,3,1,3,0.3669631917613223,0.7193060749955524,1.7320508075688772,0.4122147467932664,3,3,3,3,0.3828426377400742,0.8072041806699708,1.7320508075688772,0.4894274534135243,3.8394408882982685,6.4282582575645755,1.2557033589867774,7.012214705196591,3.350927308087067,3.971952189489158,0.0,4.4032804998110775
0.23_102.1549m/z,102.1548719,0.233566667,0.0,0.0,5.8535804733333325,0.0,0.0,0.0,0.0,0.0,3,3,1,3,0.0,0.0,1.7320508075688772,0.0,3,3,3,3,,,1.7320508075688772,,0.0,0.0,10.138698786006408,0.0,0.0,0.0,0.0,0.0
0.28_691.4629m/z,691.4628816000003,0.28355,30.079597037777773,23.96036287333333,28.07940987333333,24.22457477,0.2276299257866276,0.2252061606533947,0.0,0.5811207256049385,3,3,1,3,0.4846363701464222,0.37313898101532655,0.8662057245230321,0.35115519448281085,3,3,3,3,0.5354323434219542,0.4358331262643982,0.8662057245230321,0.6789781059355824,16.105589131125427,10.442719857514284,24.322545573509878,16.447955894429498,3.8414885725539585,4.286376716111049,0.0,4.288750100586242
0.33_102.1550m/z,102.15502559999999,0.3264,0.0,0.0,8.896089483333332,0.0,0.0,0.0,0.0,0.0,3,3,1,3,0.0,0.0,1.7320508075688774,0.0,3,3,3,3,,,1.7320508075688774,,0.0,0.0,15.408478973812496,0.0,0.0,0.0,0.0,0.0
0.35_68.9936m/z,68.99361685,0.34783333299999997,12.420634895999994,12.747210227666665,6.898455103333332,12.93798981,0.1910753953437902,0.10265027789063627,0.0,0.060563346540494986,3,3,1,3,0.17257580885769078,0.2086970684117498,0.866371051314194,0.17986457971745193,3,3,3,3,0.25747274906030726,0.2325758928063771,0.866371051314194,0.1897872123751221,3.197975011747502,2.9646937994901563,5.976621800318666,2.4554650197776358,4.95922637209072,3.9142070586240894,0.0,3.447755926988163
0.39_102.1549m/z,102.1549308,0.38996666700000004,0.0,0.0,6.036362503333333,0.0,0.0,0.0,0.0,0.0,3,3,1,3,0.0,0.0,1.7320508075688774,0.0,3,3,3,3,,,1.7320508075688774,,0.0,0.0,10.45528654867699,0.0,0.0,0.0,0.0,0.0
0.40_213.0184m/z,213.0184472,0.39711666700000003,3.912146779222223,2.4154889786666662,14.906064666666666,5.586029674888889,0.04690896627635309,0.4961190959883512,0.0,0.16915679329355232,3,3,1,3,0.6648185183351852,1.2164493845414541,1.7320508075688772,0.5225559081154174,3,3,3,3,0.6664713898124263,1.313728762932281,1.7320508075688772,0.5492528541789166,2.607333901098442,3.173297347820318,25.818061343573905,3.0681427424608474,3.0199138272754724,3.647427634720722,0.0,3.4146011715723383
0.41_145.0360m/z,145.0360434,0.411416667,576.1194473111112,571.4200718666666,427.4498258,569.8102078333333,0.011072708490410909,0.020027029154292525,0.0,0.05118227841205805,3,3,1,3,0.03580864420079795,0.05779571314376419,0.3713651317089492,0.03916194639239837,3,3,3,3,0.037481513747619086,0.061167199989399214,0.3713651317089492,0.06444597480596059,21.593828984662125,34.95216581382527,158.73996085718437,36.72197429820616,3.3790002363064646,3.4734620292291316,0.0,4.744029568717778
0.43_102.1549m/z,102.154895,0.432833333,0.0,0.0,8.386325996666667,0.0,0.0,0.0,0.0,0.0,3,3,1,3,0.0,0.0,1.7320508075688772,0.0,3,3,3,3,,,1.7320508075688772,,0.0,0.0,14.52554271506237,0.0,0.0,0.0,0.0,0.0
0.45_345.2033m/z,345.2033258,0.447116667,6.4708816586666655,0.5852372911111111,29.09208100666667,19.402356142222217,1.1309150432943331,0.8713247680258299,0.0,0.15386357731178255,3,3,1,3,0.9813165014991896,1.7320508075688772,0.43488608882552215,0.29411029365071395,3,3,3,3,1.4973145665704426,1.9388674145942177,0.43488608882552215,0.3319259936408839,9.688945366075105,1.1346975135407236,12.651741324784528,6.440146341481416,4.922088254808337,3.951347785406577,0.0,4.018454650262236
0.48_102.1548m/z,102.1547695,0.475683333,0.0,0.0,8.24682621,0.0,0.0,0.0,0.0,0.0,3,3,1,3,0.0,0.0,1.7320508075688772,0.0,3,3,3,3,,,1.7320508075688772,,0.0,0.0,14.283921996910683,0.0,0.0,0.0,0.0,0.0
0.53_102.1550m/z,102.1549732,0.532116667,0.0,0.0,16.680680493333334,0.0,0.0,0.0,0.0,0.0,3,3,1,3,0.0,0.0,1.7320508075688772,0.0,3,3,3,3,,,1.7320508075688772,,0.0,0.0,28.891786119276418,0.0,0.0,0.0,0.0,0.0
0.57_153.7767m/z,153.776738,0.574966667,0.0,0.0,0.0,15.644031011111108,0.0,0.0,0.0,0.1016824615277586,3,3,1,3,0.0,0.0,0.0,0.16475014612543262,3,3,3,3,,,,0.19360251452575586,0.0,0.0,0.0,3.0287237410700136,0.0,0.0,0.0,4.330623973841406
0.57_201.7990m/z,201.7989858,0.574966667,0.0,0.0,0.0,36.384718337777784,0.0,0.0,0.0,0.05901127064428841,3,3,1,3,0.0,0.0,0.0,0.13681261727225888,3,3,3,3,,,,0.14899671911803644,0.0,0.0,0.0,5.421203658362746,0.0,0.0,0.0,3.719283045171002
0.58_177.4624m/z,177.46235769999996,0.5821,3.0664249063333333,3.878189799222222,0.0,28.33348566,0.7167882752704537,0.3318074793897116,0.0,0.05805981574277689,3,3,1,3,1.0503146090937256,0.7990877174192753,0.0,0.12923312099520498,3,3,3,3,1.271591998103518,0.8652383391351203,,0.14167618630612025,3.8992413736787963,3.355558500729801,0.0,4.014180193067946,4.530887823553812,3.669762561483013,0.0,3.7757502490252337
0.59_144.4417m/z,144.44173590000003,0.5892333329999999,0.0,0.0,0.0,14.391955380777777,0.0,0.0,0.0,0.09705048147035364,3,3,1,3,0.0,0.0,0.0,0.18205449616195926,3,3,3,3,,,,0.20630713881592244,0.0,0.0,0.0,2.9691631365746827,0.0,0.0,0.0,4.051778124135144
0.59_203.2244m/z,203.2243682,0.5892333329999999,0.0,0.0,0.0,16.058793913444447,0.0,0.0,0.0,0.6521208039683573,3,3,1,3,0.0,0.0,0.0,0.5788916267249801,3,3,3,3,,,,0.8719960197504518,0.0,0.0,0.0,14.00320437451634,0.0,0.0,0.0,4.944558675569281
0.59_250.8096m/z,250.8096315,0.5892333329999999,0.0,0.0,0.0,58.08654070777778,0.0,0.0,0.0,0.050323191284680734,3,3,1,3,0.0,0.0,0.0,0.07603533197073091,3,3,3,3,,,,0.09118001584214504,0.0,0.0,0.0,5.296331701950581,0.0,0.0,0.0,4.470062980682643
0.60_129.1388m/z,129.1387813,0.6035166670000001,0.0,0.0,0.0,14.73445242511111,0.0,0.0,0.0,0.2535240847736109,3,3,1,3,0.0,0.0,0.0,0.23307684630015565,3,3,3,3,,,,0.3443824586728009,0.0,0.0,0.0,5.074286953357177,0.0,0.0,0.0,4.972044631203417
0.60_146.1659m/z,146.1658862,0.596383333,0.0,0.0,0.0,163.91575937777782,0.0,0.0,0.0,0.08962505433151348,3,3,1,3,0.0,0.0,0.0,0.05455460803291107,3,3,3,3,,,,0.10492309384283,0.0,0.0,0.0,17.198548603513323,0.0,0.0,0.0,4.303156316296743
