Compound,m/z,Retention time (min),kmd,pass_relfil,pass_blnkfil,average CV,median CV,pass_cvfil,pass_insource,groups,fc,max,logmax,-logp,-logq,logfc
0.80_418.1451n,419.1520828,0.802766667,0.1520828000000165,True,True,0.010040382940985748,0.009423887733531495,True,False, 0um_Ce 250um_Ce Media insource,1.1837803141775751,303816.0431,5.4826107031865465,6.396405992936248,,0.24340137061757258
0.81_210.0803m/z,210.0803421,0.809916667,0.08034209999999575,True,True,0.006501647786652482,0.006340591987036607,True,True, 0um_Ce 250um_Ce Media,0.9688544207795482,175857.77106024444,5.245161564316388,2.1185108385452893,1.8622931872976705,-0.045648191061046575
4.11_444.1061n,889.218976,4.110983333,0.21897599999999784,True,True,0.02078788508813272,0.02073919944258157,True,False, 0um_Ce 250um_Ce insource,100.0,104641.95532444444,5.019705846219897,0.9852889834638022,,6.643856189774724
4.11_400.0799n,401.0872034,4.110983333,0.08720340000002125,True,True,0.2578197338504206,0.012353021941515456,True,False, 0um_Ce 250um_Ce insource,100.0,81791.21299777778,4.912706649006793,4.217065862814959,,6.643856189774724
0.80_627.2171n,650.2063013,0.802766667,0.2063012999999501,True,True,0.021902685175812123,0.01965673428790723,True,True, 0um_Ce 250um_Ce Media,1.3085676622537488,44474.24580888889,4.648108592083337,5.275021313858996,4.383115493819567,0.3879885239076708
2.65_752.8361n,753.8434083,2.6526,0.8434082999999646,True,True,0.6246761609227889,0.09702073827767782,True,False, 0um_Ce insource,100.0,23112.885931222223,4.363854175931464,1.3194977904512712,,6.643856189774724
4.77_240.1117n,241.1189378,4.7723833330000005,0.11893779999999765,True,True,0.01659246968311068,0.016253388851310908,True,True, 0um_Ce 250um_Ce,100.0,22053.20883,4.34347178998399,0.7337532830227029,0.6714237770732601,6.643856189774724
4.62_401.0873m/z,401.0872589,4.623133333,0.08725889999999481,True,True,0.2613496130966922,0.02237371320575764,True,False, 0um_Ce 250um_Ce insource,100.0,21457.119485555555,4.3315714196106265,4.107092612900341,,6.643856189774724
1.46_132.1024m/z,132.1023553,1.4645166669999998,0.10235529999999926,True,True,0.2747731945695796,0.0690709749532558,True,False, Media insource,0.01,23481.641777567667,4.370728458419337,8.211182633377634,,-6.643856189774724
2.00_120.0817m/z,120.0816648,1.998166667,0.08166479999999865,False,True,,,True,True, relfil,,,,,,
2.31_165.0801n,188.071814,2.310966667,0.07181399999998916,True,True,0.13025986491015118,0.029055955869722663,True,False, Media insource,0.01,13703.989218888886,4.136847008292326,7.364806121156017,,-6.643856189774724
